質問,回答,カテゴリ,キーワード,リンク名,立場,信頼度,件名,概要,対応結果
お気に入りに登録している「楽楽精算」が開かない場合はどうすればよいですか？,楽楽精算のポータルサイトの「接続先一覧」からNHMKのURLにアクセスし、お気に入り登録をし直してください。スマートフォンで操作している場合は、アプリを再インストールし、QRコード読取りで接続し直してください。,ログイン/PW,楽楽精算;お気に入り;開かない;ポータルサイト;接続先一覧;NHMK;スマートフォン;アプリ再インストール;QRコード,,申請者,0.95,お気に入りに登録している「楽楽精算」をクリックしても開かない,お気に入りに登録している「楽楽精算」をクリックしても開かない。,楽楽精算のポータルサイトの「接続先一覧」からNHMKのURLにアクセスしお気に入り登録し直していただくよう依頼。スマートフォンでも操作されている場合は、アプリを再インストールしてからQRコード読取りで接続し直していただくよう依頼。
楽楽精算でお気に入り登録やショートカットを作成する方法を教えてください,遠隔接続のお気に入り登録方法とショートカットの作成方法をご案内し、問題なく登録できました。,ログイン/PW,楽楽精算;お気に入り登録;ショートカット;作成方法;遠隔接続;ログイン;操作方法;登録,,ユーザー,0.95,楽楽精算のお気に入り登録、ショートカットの作成がうまくできない,楽楽精算のお気に入り登録、ショートカットの作成がうまくできない,SN64145176H　遠隔接続お気に入り登録方法、ショートカットの作成方法をご案内問題なく登録できたため完了
中日本フードの楽楽精算にアクセスする方法を教えてください,接続先一覧から中日本フードの楽楽精算のURLにアクセスしてください。,ログイン/PW,中日本フード;楽楽精算;アクセス;URL;接続先一覧;ログイン;食肉事業部;異動,,申請者,0.95,中日本フードの楽楽精算にアクセスしたい,"中日本フードの楽楽精算にアクセスしたい
食肉事業部から中日本フードに異動になった",URLが違うので接続先一覧から中日本フードのURLにアクセス頂くよう依頼
日本ハムの楽楽精算にログインする方法を教えてください,Nhitsの業務ツールから楽楽精算接続先一覧を開き、「日本ハム」を選択してログインしてください。URLが協同食品とは異なります。,ログイン/PW,楽楽精算;日本ハム;協同食品;ログイン;業務ツール;接続先一覧;URL;Nhits,,申請者,0.95,楽楽精算にログインできない,協同食品から日本ハムに出向している協同食品の楽楽精算にはログインできるが日本ハムの楽楽精算はどのようにログインすれば良いか申請は完了していると上司から言われている,URLが別であることをご説明Nhits→業務ツール→楽楽精算接続先一覧→「日本ハム」からログインしていただく問題なくログインできたため完了
楽々精算の承認経路一覧（個人別）を入手する方法を教えてください,日本ホワイトファーム㈱の社員マスタをお送りいたします。添付の社員マスタにはセキュリティの観点からパスワードを設定しています。パスワードは別途お送りしますメールをご確認ください。,業務手順/運用ルール,楽々精算;承認経路;社員マスタ;監査対応;資料提出;個人別一覧;セキュリティ;パスワード,,申請者,0.95,【社員マスタ一覧送付依頼】監査対応のお願い,"食肉業務推進室の監査を受けており
資料提出の指示がありましたので、以下の情報提供をお願い致します。
 
→楽々精算の承認経路一覧&#xff08;個人別&#xff09;
 
　例&#xff1a;以下の情報が一覧になったもの
従業員A　　第一承認者B課長　　第二承認者C部長　　第三承認者D事業部長
　　
以上、宜しくお願い致します。","藤岡さんに相談承認経路一覧をお求めということで社員マスタ送付対応。
【回答内容】
お問い合わせいただきました件につきまして
承認経路の一覧をお求めと存じますので、
日本ホワイトファーム㈱様の社員マスタをお送りいたします。
※添付している社員マスタにはセキュリティの観点からパスワードをかけております。
パスワードは、別途お送りしますメールをご覧ください。
 
以上となります。
 
ご不明な点等ございましたら、下記問合せ先までご連絡ください。※藤岡さんに相談"
楽楽精算で日当金額が本来の金額と異なる場合、どのように設定を確認・変更すればよいですか？,楽楽精算の導入当初に各社担当者から提出された会社規程に基づき、等級ごとに日当金額が設定されています。規程が変更されている場合は、「楽楽精算_申請書（その他）.xlsx」を作成し、各社申請担当者からメールで申請してください。申請書の保存場所は『共同_楽楽精算サポート - ドキュメント』です。等級が「TM1」の場合は「ユーザー変更申請書」の提出も必要です。,システム操作,楽楽精算;日当金額;等級;会社規程;金額設定;申請書;TM1;申請手順,楽楽精算_申請書（その他）.xlsx,申請者,0.95,【出張申請】日当金額について確認したい,"出向で来ている淺野.寛章さんの日当が本来であれば&#xffe5;2,400で設定したいが&#xffe5;2,700で設定されてしまう","&#xff08;藤岡さんフォロー&#xff09;
17:38　メール送信------------------------------------------------------------先程お問い合わせいただきました日当金額についてですが楽楽精算導入当初に各社担当者より会社規程をお送りいただいておりその資料に基づき等級に紐づく金額設定を行っております。NCC様から導入当初に送付頂いた資料をお送りしますので、一度ご確認の程、よろしくお願い致します。規程が変更となっている場合は変更申請を上げて頂く必要がありますので、「楽楽精算_申請書&#xff08;その他&#xff09;.xlsx」を作成し各社申請担当者様からメールでご依頼いただけますでしょうか。&#xff08;保存場所&#xff09;共同_楽楽精算サポート - ドキュメント&#xff1c;NCC様　各社担当者一覧&#xff1e;田中.康之/NCC_管理部 yas.tanaka&#64;nipponham.co.jp;山口.愛衣/NCC_管理部 mei.yamaguchi&#64;nipponham.co.jp;米光.春香/NCC_管理部 h.yonemitsu&#64;nipponham.co.jp;今村.圭史/NCC_管理部 k.imamura&#64;nipponham.co.jp;また、淺野様の等級が「TM1」の場合は「ユーザー変更申請書」のご提出を各社申請担当者様からお願いいたします。お忙しいところ恐れ入りますが、ご確認よろしくお願いいたします。"
楽楽精算システムでマイカー利用申請時に「マイカー業務使用申請書」で計算した金額と精算画面の金額が一致しない場合、システム上のレートはどのように決まっていますか？,楽楽精算システムでは、会社毎にレート値が設定されています。申請書と精算画面の金額が異なる場合は、申請書のレートが間違っている可能性もあるため、申請書のレート値をご確認ください。,システム操作,楽楽精算;マイカー利用申請;マイカー業務使用申請書;レート;金額計算;会社毎設定;精算画面;申請書,,申請者,0.95,【出張精算】マイカー申請のレートに関して,"マイカー利用申請で「マイカー業務使用申請書」で計算された金額と精算画面の金額が一致していない。
楽楽精算システム上で、距離を入力すると金額が自動計算されるようだが、システム上、値が決まっているという認識でよいか。",会社毎にレート値が設定されている旨をお伝え。小計が異なるとのことだが、発生日が過去になっていたりしないか確認頂くが、問題なし。もしかすると「マイカー業務利用申請書」のレートが間違っているかもしれないので、一度確認しますとのこと。
"楽楽精算の乗換案内検索と実際の料金に相違がありました。
 
調査をお願い致します。
 
 

 

 ","ユーザ様に以下内容のメール送信
＝＝＝
【回答内容】
国際興業バスのサイトにて、埼玉県内路線バス運賃改定が「2025年4月1日（火）」に実施されたこと、
並びに「武蔵浦和駅」・「美女木」がいずれも埼玉県内のバス停であることを確認いたしました。
誠に恐れ入りますが、操作マニュアルにも記載させていただいております通り、
乗換案内Bizは実際の運賃改定日から遅れての更新となります。
■参考：『 操作マニュアル【申請者向け】』のP.77にある赤文字部分
 
乗換案内Biz画面の右上「ヘルプ」をクリックいただきますと、乗換案内Bizのオンラインヘルプが表示され、
『変更履歴』の中に『20●●年●月版の変更点』というメニューと変更内容が記載されております。
この過去の履歴を見る限り、次回変更は6～7月頃ではないかと思われます。
 
お手数をおかけしますが、更新されるまでは料金手入力にてご対応をいただけますでしょうか。
 
ユーザ様におかれましてはご不便をおかけし誠に恐れ入りますが、何卒ご理解の程よろしくお願いいたします。",データ関連,精算,,その他,0.3,【乗換案内Biz】運賃改定について,"楽楽精算の乗換案内検索と実際の料金に相違がありました。
 
調査をお願い致します。
 
 

 

 ","ユーザ様に以下内容のメール送信
&#xff1d;&#xff1d;&#xff1d;
【回答内容】
国際興業バスのサイトにて、埼玉県内路線バス運賃改定が「2025年4月1日&#xff08;火&#xff09;」に実施されたこと、
並びに「武蔵浦和駅」・「美女木」がいずれも埼玉県内のバス停であることを確認いたしました。
誠に恐れ入りますが、操作マニュアルにも記載させていただいております通り、
乗換案内Bizは実際の運賃改定日から遅れての更新となります。
■参考&#xff1a;『 操作マニュアル【申請者向け】』のP.77にある赤文字部分
 
乗換案内Biz画面の右上「ヘルプ」をクリックいただきますと、乗換案内Bizのオンラインヘルプが表示され、
『変更履歴』の中に『20●●年●月版の変更点』というメニューと変更内容が記載されております。
この過去の履歴を見る限り、次回変更は6&#xff5e;7月頃ではないかと思われます。
 
お手数をおかけしますが、更新されるまでは料金手入力にてご対応をいただけますでしょうか。
 
ユーザ様におかれましてはご不便をおかけし誠に恐れ入りますが、何卒ご理解の程よろしくお願いいたします。"
"表題の件、2025年2月や2024年11月に使用実績のあるグループ会社の相手先に関して、
移行後の楽楽精算において支払先口座情報が移行されていないという事象が発生しております。
≪実績≫


≪現時点の楽楽精算≫

 
この事象の要因についてご教授いただけませんでしょうか。
4/30支払期限となりますので、少し急いでおります。","以下の通りユーザ様へメールを送信。
===================================
調査の結果、ConnectStep2支払先マスタ移行時のマスタ登録が原因であったと
担当部署より連絡がございました。
 
現在、同様の状態になっている支払先マスタがないか確認・対応を進めております。
この度は、ご迷惑をおかけし申し訳ございません。
 
ご不明な点等ございましたら、下記問合せ先までご連絡ください。
 
※藤岡さんに相談",データ関連,精算,,その他,0.3,【お問い合わせ】楽楽精算におけるグループ会社マスタの移行について,"表題の件、2025年2月や2024年11月に使用実績のあるグループ会社の相手先に関して、
移行後の楽楽精算において支払先口座情報が移行されていないという事象が発生しております。
≪実績≫


≪現時点の楽楽精算≫

 
この事象の要因についてご教授いただけませんでしょうか。
4/30支払期限となりますので、少し急いでおります。","以下の通りユーザ様へメールを送信。
&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;
調査の結果、ConnectStep2支払先マスタ移行時のマスタ登録が原因であったと
担当部署より連絡がございました。
 
現在、同様の状態になっている支払先マスタがないか確認・対応を進めております。
この度は、ご迷惑をおかけし申し訳ございません。
 
ご不明な点等ございましたら、下記問合せ先までご連絡ください。
 
※藤岡さんに相談"
"標記の件について、弊社の楽楽精算のユーザーで個人立替口座が未登録のユーザーの一覧表をいただくことは可能でしょうか。
もしくはこちらで確認する方法はありますでしょうか。
 
お手数ですが、ご教授いただければ幸いです。
よろしくお願いいたします。","ユーザ様に以下内容のメール送信
＝＝＝
【回答内容】
S4で「登録のあるユーザ一覧」をお調べいただくことが可能です。
以下のトランザクションを用意しておりますので、出力しご確認いただけますでしょうか。
 
■S4トランザクション：ZFI0053_01　仕入先コード一覧

 
選択条件：
会社コード：****　←会社CD4桁を入力お願いします。➡0079
仕入先コード：U*　←従業員を意味します。
最大該当数：999999999
 
上記でHitしないユーザ様は、現時点で口座登録がないユーザ様となりますので、
お手数をおかけしますが、ご確認いただけますと幸いです。
また、申請したのにHitしないという場合は、より詳しい者に確認を行いますのでご連絡くださいませ。",データ関連,精算,,その他,0.3,個人立替口座の登録状況について,"標記の件について、弊社の楽楽精算のユーザーで個人立替口座が未登録のユーザーの一覧表をいただくことは可能でしょうか。
もしくはこちらで確認する方法はありますでしょうか。
 
お手数ですが、ご教授いただければ幸いです。
よろしくお願いいたします。","ユーザ様に以下内容のメール送信
&#xff1d;&#xff1d;&#xff1d;
【回答内容】
S4で「登録のあるユーザ一覧」をお調べいただくことが可能です。
以下のトランザクションを用意しておりますので、出力しご確認いただけますでしょうか。
 
■S4トランザクション&#xff1a;ZFI0053_01　仕入先コード一覧

 
選択条件&#xff1a;
会社コード&#xff1a;****　←会社CD4桁を入力お願いします。➡0079
仕入先コード&#xff1a;U*　←従業員を意味します。
最大該当数&#xff1a;999999999
 
上記でHitしないユーザ様は、現時点で口座登録がないユーザ様となりますので、
お手数をおかけしますが、ご確認いただけますと幸いです。
また、申請したのにHitしないという場合は、より詳しい者に確認を行いますのでご連絡くださいませ。"
"楽楽精算の取引先マスタ一覧は出せるか
支払依頼でNHBAを選択したいが出てこないため確認したい",（藤岡さんフォロー）楽楽精算側では一覧出力できないためS４からであれば出力可能とお伝え。ビジネスアソシエと入力されていたようで、全角でＮＨＢＡとご入力いただくようご案内ご納得いただき完了,システム操作,精算,,その他,0.3,楽楽精算の取引先マスタ一覧は出せるか,"楽楽精算の取引先マスタ一覧は出せるか
支払依頼でNHBAを選択したいが出てこないため確認したい",&#xff08;藤岡さんフォロー&#xff09;楽楽精算側では一覧出力できないためS&#xff14;からであれば出力可能とお伝え。ビジネスアソシエと入力されていたようで、全角で&#xff2e;&#xff28;&#xff22;&#xff21;とご入力いただくようご案内ご納得いただき完了
楽楽精算で新しい取引先コードが登録されていない場合はどうすればよいですか？,移行障害により7桁の取引先コードが作成されていない場合は、作成完了までお待ちいただき、今月度はワンタイムで支払いを行ってください。,データ関連,楽楽精算;取引先コード;7桁コード;移行障害;ワンタイム支払い;データ登録;支払依頼;コード体系,,申請者,0.95,【納期：4/25】【支払依頼】取引先コードにつきまして,"&#xff14;月より取引先コードの体系がかわり、&#xff17;桁のコードで楽楽精算の処理を行うよう指示があったのですが
下記取引先の新しいコードが楽楽精算に登録されておりません。
恐れ入りますがどのように対応すれば良いか教えてください。
宜しくお願いいたします。",質問者の方に、移行障害により7桁が作成されていなかったこと、こちらで作成次第ご報告すること、今月度はワンタイムで支払いいただきたいことをお伝えしました。
楽楽精算で取引先（日新）の住所変更があった場合、どのように対応すればよいですか？,今月度はワンタイムで精算し、今後の精算は新規BPを作成してください。,データ関連,楽楽精算;取引先;住所変更;日新;ワンタイム精算;新規BP;支払先;申請手順,,申請者,0.95,楽楽精算で支払先の日新という会社より住所変更が届いており何か対応すべきことがあるのか確認したい,"お忙しい中何度も失礼いたします。
楽楽精算で支払先の日新という会社より住所変更の
お知らせが届いております。

 
こちらは元々あったコードを使用しているため登録がどうなって
いるのか分からず住所変更等の申請はしておりません。
 
私が変更の申請をする必要があるのか、また申請書は&#xff33;&#xff21;&#xff30;対応で
更新されているのかを確認したく、五月雨式に申しわけございませんが
 
 
 
掲題の件につきまして住所変更の案内があり、経理に変更の必要が
あるか確認した際にそもそもこちらのコードがStep2の新コードの
登録がないと言われました。
 
&#xff14;月分も計上がありますがどうすればよいでしょうか。
また元々の問合せの住所変更の登録の仕方についても
ご教示頂けますか。
　・発生事象　　楽楽精算で既存取引先の新コードが存在しないまた取引先の住所変更の手順も分からない SAPは来期から開始とのことで現時点では極々限られた内容の説明しか受けておらず知識はほぼありません　・実施内容　　QA-005424　・ユーザーID　　U000084743　・対象システムの機能名&#xff0f;画面名　　楽楽精算　・SAP利用環境　　SAP以外のため該当なし　・伝票番号　　なし　・想定する結果　　　・参考情報&#xff08;画面ショットや添付ファイル&#xff09;　　なし　・マニュアルの事前確認&#xff1a;未確認　・キーユーザーへの事前確認&#xff1a;未確認　・キーユーザー氏名&#xff1a;",今月度はワンタイムで精算いただくこと、今後の精算は新規BPを作成いただくことをお願いしました。
楽楽精算で申請者以外のメールアドレスに承認通知メールが届く場合の原因と対処方法を教えてください。,申請者の社員マスタのメールアドレス欄に他の方のメールアドレスが登録されている場合、承認通知メールがそのアドレスに届きます。メールが届かないようにするには、楽楽精算サポートデスク宛に区分：変更でメールアドレス変更の申請書を提出してください。申請書受理から反映まで3営業日かかります。また、他にも同様の登録がないかご確認のうえ、必要に応じてご申請ください。,データ関連,楽楽精算;承認通知メール;社員マスタ;メールアドレス;申請書;サポートデスク;変更申請;自動返信,,申請者,0.95,FW: 【楽楽精算】【0399】支払依頼承認通知,"教えていただきたい事があるのですが
承認フローが↓のようになっているのですが
 
↓の森課長に承認通知メールがくるようです。
森.寿祥/NHファクトリー_兵庫-製造一課 &lt;his.mori&#64;nipponham.co.jp&gt;
 
お忙しい中、大変申し訳無いのですが確認していただけないでしょうか
よろしくお願いいたします。","ユーザ様に以下内容のメール送信&#xff1d;&#xff1d;&#xff1d;
お問合せ頂きました「承認通知メール」の件につきまして、
確認が取れましたので以下の通りご案内申し上げます。
 
■森様にメールが届く理由
申請者の小林冴子様の社員マスタを拝見しますと、E列の「基本情報:EーMAIL」欄に
森様のメールアドレスが入っているようです。

 
■今回届いたメールについて&#xff08;仕様&#xff09;
申請者が伝票を申請し、承認者から承認された時に、申請者宛に自動返信メールが届きます。
そのため、小林様が申請すると森様に承認通知メールが届いております。
 
■届かないようにするためには&#xff08;対応&#xff09;
楽楽精算サポートデスク宛に、区分&#xff1a;変更でメールアドレスを変更するための
「楽楽精算_申請書&#xff08;ユーザID)」をご提出ください。
 
また、他にも森様のメールアドレスが登録されているユーザ様がいらっしゃいますので、
内容をご確認いただき、適宜ご申請いただけますと幸いです。
&#xff0a;ユーザ&#xff29;&#xff24;申請書は、受理から反映まで&#xff13;営業日を要します。
　お時間頂戴します事あらかじめご了承くださいませ。"
楽楽精算の新規利用登録者に利用開始用URLを先に受け取る方法を教えてください,社員マスタの送付が遅れる場合は、利用開始用のURLをメールで受け取ることが可能です。ログイン方法はシングルサインオンとなっています。,ログイン/PW,楽楽精算;新規利用登録;利用開始;URL;社員マスタ;シングルサインオン;ログイン;申請書,,申請者,0.95,RE: ＜反映希望日：4/4＞ 【依頼】楽楽精算申請書(新規・変更・削除)送付の件【QA-048544・QA-048545】,"4/1付組織変更に伴う楽楽精算の変更申請を本日4/4にて対応頂きました。ありがとうございました。
通常であれば、対応完了後社員マスタを送付して頂いていますが、今回は新規利用登録者が2名おりまして
その内1名が4/1に新しく社長に就任された岸本社長なものですから、利用開始に伴うURLだけ先にメールで
頂けないでしょうか。
社員マスタは後日で構いませんので、宜しくお願い致します。
 
　また4/1付で経理の責任者が本メールCCに記載している鈴木から加藤へ変更になりましたので、今後の
変更申請書提出時は、CCの宛先は加藤になりますので、合わせてご連絡させて頂きます。
宜しくお願い致します。","【回答内容】
社員マスタの送付が遅くなっており申し訳ありません。
下記に宝幸様のURLを添付いたしましたのでこちらでご確認頂けますでしょうか。
 
宝幸
 
ログイン方法については、シングルサインオンとなっておりますのでご対応のほどよろしくお願いします。
 
以上となります。"
"3/17にて最終承認されている出張精算は、いつ自分の口座に振り込まれますか。
","伝票番号について確認。
申請内容を確認すると支払い日が、「15日or月末」になっている。
3/17最終承認の為、翌月15日支払い予定とお伝えし終話。",データ関連,精算,,その他,0.3,【お問い合わせ】承認済み出張精算の口座振り込み日について,"3/17にて最終承認されている出張精算は、いつ自分の口座に振り込まれますか。
","伝票番号について確認。
申請内容を確認すると支払い日が、「15日or月末」になっている。
3/17最終承認の為、翌月15日支払い予定とお伝えし終話。"
楽楽精算で請求書の支払予定日が土日になっている場合、その日程を入力すると自動で銀行の稼働日に設定されますか？,取引先によって支払予定日が前倒しまたは後倒しになる場合があります。回答には取引先コード情報が必要です。,システム操作,楽楽精算;支払予定日;請求書;銀行稼働日;取引先コード;前倒し;後倒し;システム操作,,申請者,0.95,【支払依頼】支払予定日について,"支払予定日について
請求書記載の日程が土日の場合、その日程を入力しても
楽楽精算側で自動で銀行の稼働日に設定されるか","(藤岡さんフォロー&#xff09;
15:55　架電
取引先により前倒し・後倒しのいずれかになる。回答するためには取引先コード情報が必要であるとご案内
ご納得いただき、現状特定の確認は必要ないと仰せ。
 "
交通費精算の登録方法で教えてほしい,"画面共有いただきサポート。SN14141704H
レンタカー代で２回領収書を渡されr、❶借りるときに、レンタカー代の領収書と、❷返す時に、ガソリン代＋レンタカー代の領収書❶の分は借りた人が既に精算申請していて、自分は❷の内のガソリン代を精算したい⇒❶の金額と❷のガソリン代の金額とに分けて領収書を登録し、❶用にプラス明細とマイナス明細を登録する方法をご案内しました。",システム操作,精算,,その他,0.3,【交通費精算】交通費精算の登録方法で教えてほしい,交通費精算の登録方法で教えてほしい,"画面共有いただきサポート。SN14141704H
レンタカー代で&#xff12;回領収書を渡されr、❶借りるときに、レンタカー代の領収書と、❷返す時に、ガソリン代&#xff0b;レンタカー代の領収書❶の分は借りた人が既に精算申請していて、自分は❷の内のガソリン代を精算したい⇒❶の金額と❷のガソリン代の金額とに分けて領収書を登録し、❶用にプラス明細とマイナス明細を登録する方法をご案内しました。"
経費精算でナンバープレートや印紙の精算と内訳を登録する方法を教えてください,他のユーザーも経費精算で同じ内訳を使用して申請しています。詳細は担当部門にお問い合わせください。,システム操作,経費精算;ナンバープレート;印紙;内訳;申請方法;登録状況;システム操作;担当部門,,申請者,0.6,【経費精算】ナンバープレートや印紙の精算と内訳はどのようにすればいいか教えてほしい,ナンバープレートや印紙の精算と内訳はどのようにすればいいか教えてほしいうちの会社はその申請はどこの事業所でも出てくるので、どこかがやっているはずだが・・・,同じような登録、申請をしているはずと仰せのため、他のユーザ様の登録状況を少し確認。&#xff15;伝票確認したが、いずれも経費精算で同じ内訳を使用して申請していてるため、番号をお伝え。
経費精算システムで収入印紙を購入した場合の登録方法を教えてください,収入印紙の生産方法についてサポートを行いました。また、差し戻し伝票（出張精算）の差し戻し理由と、差し戻し伝票（経費精算）の修正方法についてご案内しました。,システム操作,経費精算;収入印紙;登録方法;生産方法;差し戻し伝票;出張精算;差し戻し理由;修正方法,,申請者,0.95,【経費精算】収入印紙を購入したが登録方法が分からないので教えてほしい,収入印紙を購入したが登録方法が分からないので教えてほしい,画面共有いただきサポート。SN84149951H。以下対応を行いました。❶収入印紙の生産方法についてサポート❷差し戻し伝票&#xff08;出張精算&#xff09;の差し戻し理由についてご案内❸差し戻し伝票&#xff08;経費精算&#xff09;の修正方法についてご案内
経費精算でタクシー代を精算する方法を教えてください。「タクシー代」という項目がない場合はどうすればよいですか？,「交通費精算」で問題ありませんが、どの精算方法を利用するかは各社の運用によって異なるため、経理担当者にご確認いただくことをおすすめします。,システム操作,交通費精算;タクシー代;経費精算;システム操作;精算方法;経理担当;項目;運用,,申請者,0.95,【交通費精算】タクシー代の精算に関して,"先日全国会議が行われた。その際、昼食中のお弁当を引き取りにタクシーを利用したが、経費精算で精算でよかったか。経費精算では「タクシー代」という項目がない。
 ",「交通費精算」で問題ないと思うが、どの精算で行うかは各社運用が異なる為、経理担当者にご確認いただいた方が確実とお伝え。
申請済みの出張精算にタクシー代の明細を追加する方法を教えてください,まだ承認者にて承認されていない状態であれば、出張精算申請を取り下げてください。「一覧」から該当伝票Noをクリックし、「取下げ」ボタンを押してください。,システム操作,出張精算;タクシー代;明細追加;申請済み;取下げ;伝票No;一覧;承認前,,申請者,0.95,【出張精算】申請済みの出張精算にタクシー代の明細を追加したい,"先程、出張精算を申請したが、タクシー代の精算を申請するのを忘れていた。
どうすればよいか。
申請の状況を伺うと、先程申請したばかりとのこと。","まだ承認者にて承認されていない状態であれば、取り下げて頂くよう依頼。
「一覧」から該当伝票Noをクリックし「取下げ」ボタンを押していただく。
 "
交通費精算システムでマイパターンを使用する方法を教えてください,遠隔接続交通費精算のページで「★マイパターン」をクリックし、対象のマイパターンにチェックを入れて「次へ」をクリックすると使用できます。,システム操作,交通費精算;マイパターン;使い方;システム操作;遠隔接続;ページ;手順;次へ,,申請者,0.95,【交通費精算】マイパターンの使い方を教えてほしい,"マイパターンの使い方を教えてほしい
登録はできたが、どこから使用するかわからない",SN73053685H　遠隔接続交通費精算のページの「★マイパターン」をクリック対象のマイパターンにチェックを入れ「次へ」をクリックしていただくと使用できことをご案内、ご納得いただき終話
交通費精算システムで高速代を登録する方法を教えてください,画面共有にて、SNZ4051856H領収書の登録方法と明細の作成についてサポートしました。,システム操作,交通費精算;高速代;登録方法;SNZ4051856H;領収書;明細作成;システム操作;操作手順,,申請者,0.95,【交通費精算】高速代の登録方法を教えてほしい,高速代の登録方法を教えてほしい,画面共有いただきサポート。SNZ4051856H領収書の登録方法と明細の作成についてサポートしました。
交際費精算システムで、ひとつの領収書から複数の品目を分けて申請する方法を教えてください。,領収書の金額を分けて申請する場合は、伝票から領収書の紐づけを外し、領収書/請求書画面で金額を分けて修正した後、再度伝票画面で明細を作成してください。詳細な手順は『よくあるお問い合わせ＜差戻し編＞.pdf』のP.18〜20をご参照ください。,システム操作,交際費精算;ゴルフ精算;領収書;品目分割;申請エラー;明細画面;伝票;領収書/請求書,よくあるお問い合わせ＜差戻し編＞.pdf,申請者,0.95,【交際費精算】ゴルフ精算申請につきまして,"ゴルフ精算の申請をするのですが
ひとつの領収書で二つの品目を分けて申請するよう言われてますが出来ません。
領収書と申請金額が違いますとエラーが出ます。
どうしたらひとつの領収書から項目を分けれますか&#xff1f;","回答内容】
おそらく下記のようなエラー表示が出ているかと存じます。

これらは、領収書登録時に登録された明細画面で金額を手動で変更した際に発生するエラーになります。
 
今回のケースにおきましては、明細画面では修正ができませんので、
一旦伝票から領収書の紐づけを外し、領収書/請求書画面で修正を行った後に
改めて明細を修正・作成する必要がございます。
 
修正方法は、マニュアルに記載がございますので、
お手数をおかけしますが下記リンク先をご覧ください。
 よくあるお問い合わせ&#xff1c;差戻し編&#xff1e;.pdf
　　➡P.18~20をご参照ください。
 
&#xff1c;手順&#xff1e;※パソコン利用の場合
❶伝票から、領収書の☑欄及び添付を外し、一時保存します。
❷ホーム画面右上にあります「領収書/請求書」をクリックし、該当の領収書欄にある「編集」をクリックします。

❸金額欄にある「&#xff0b;」ボタンを押し、金額を分けたあと下部にあります「確定」ボタンをクリックし、領収書の登録内容を上書き修正します。
写真は、例のため0円と0円にしております。

 
❸再度伝票画面を開き、金額を分けた明細をそれぞれ作成します。
❹その他内容にお間違いなければ確認の上、申請を行います。"
交際費精算システムで伝票を作成する方法を教えてください,領収書内で税率が異なる場合は、領収書編集を行い、明細追加後に金額を分ける必要がある場合の対応方法もご案内しています。また、明細の追加方法についてもサポートしています。ご不明点があれば再度お問い合わせください。,システム操作,交際費精算;伝票作成;領収書編集;税率;明細追加;金額分割;システム操作;操作方法,,申請者,0.95,【交際費精算】伝票を作成したいので教えてほしい,伝票を作成したいので教えてほしい,画面共有いただきサポート。SN74070993H。以下対応を行いました。❶領収書内で税率が違っているので、領収書編集をサポート。また、明細追加後に金額を分ける必要があると判明したときの対応方法についてあわせてご案内。❷明細追加方法をサポート。それ以降の明細は自分で出来そうとのことなので、ご不明点があれば再度問い合わせいただくようお伝えし終話しました。
交際費精算でマイナスの明細を作成する方法を教えてください,個人負担金の場合は、「明細追加」からマイナス金額の明細を作成してください。領収書は不要です。,システム操作,交際費精算;マイナス明細;明細追加;個人負担金;領収書不要;システム操作;作成方法,,申請者,0.95,【交際費精算】マイナスの明細を作成したい,マイナスの明細を作成したいが、どのように作成すればよいか。,個人負担金か　⇒　○「明細追加」でマイナス金額の明細を作成&#xff08;領収書不要&#xff09;頂くようご案内。
交際費精算で日当を入力する際の「請求書区分」と「支払先」はどのように入力すればよいですか？,交際費精算で日当を入力する場合、「請求書区分」は「適格事業者」を選択し、事業者登録番号は「T9999999999999」と入力してください。支払先は「日当」や「ご自身のお名前＋日当」など、分かりやすい内容を記載してください。,業務手順/運用ルール,交際費精算;日当;請求書区分;支払先;適格事業者;事業者登録番号;入力方法;業務手順,,申請者,0.95,【交際費精算】交際費精算 日当の入力について,"表題につきまして1点お聞きしたいことがありご連絡させていただきました。
交際費精算にて日当を入力したいのですが
その際の「請求書区分」・「支払先」は何と入力すれば良いのでしょうか。
恐れ入りますが、ご教示いただけますようお願いいたします。
 
","2025/05/09 (金) 11:33　ユーザ様に以下内容のメール送信
&#xff1d;&#xff1d;
【回答内容】
添付いただいたキャプチャの内訳の通り、「※消特」がついておりますので、
以下にてご対応いただけますでしょうか。
■請求書区分 ➡ 「適格事業者」を選択
■事業者登録番号 ➡ 「T9999999999999」と入力
■支払先 ➡ 例えば「日当」や「ご自身のお名前&#xff0b;日当」等、分かりやすいように記載いただければと思います。"
